I can easily log-in and log-out my Canvas account. ,I can access my course using the mobile Canvas app. ,I can access my Canvas account using the available computers in JRU. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I can easily get help when I have problems with my Canvas account. ,I can access my Canvas account outside JRU. ,I can clearly understand the lessons on my Canvas modules. ,I recognize that the modules in my course are well organized. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app. ,I notice that course materials on Canvas have connection with the face to face  lesson content. ,I understand the lessons better with the help of course materials in Canvas. ,Canvas course materials make me interested. ,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. ",My instructor knows how to use Canvas. ,My instructor demonstrated mastery of the subject matter. ,My instructor encourages me to use Canvas. ,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions",I can answer the assessment materials  posted in Canvas. ,"I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) ",I have been give enough time to accomplish the activities on Canvas. 
i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,i can,-
i have no problems in log in ,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem,i have no problem
I have no problems with it,I have no problems with it ,I have no problems with it ,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,I have no problems with it,"Yes, I have no problems with it"
i dont have problem in my canvas,i can easily login my canvas app in my mobile app,I can access my Canvas account using the available computers in JRU,i dont have problem in internet connection,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it,i dont have problem with it
i have no problems,i can access my course,no problem in accessing my canvas,dont have issue,no problem with ,no problem,i understand,easy to recognize,i can manage,i can manage,i noticed the course material,i understand the lesson,im interested,the course materials helped me,yes she teach us how,yes she demonstrate,she encourage me,i can communicate easy,i have no problem with it,i have no problem with it,i have no problem with it
I have no problems in logging-in,i have no problems,but sometimes on a trusted device only,No problems every thing was fine,i can go to IT help Desk,Yes of course,When im alone,every things was fine,User friendly,User Friendly,Yes of course,Yes of course ,Yah yah yah XD,Yes of course ,She can navigate it well,sometimes ,And provoke me to use it ,in just 1 tap,Easy to access inside or outside the university,Yes of course ,Yes of course 
I can access it with no problem.,I have no problem accessing course in my canvas app,There is no problem in accessing canvas jru computers, I have no issue,they fixed it immediately when my course in canvas cannot be found,I cant easily access it outside jru,I can undestand it and some are not,It is well organized,The dashboard is a big help to locate my courses,I have no problems,I have no problems,I can understand it,Makes me want to learn more,Its a big help for me to study,The modules are in the canvas,I can learn the topic easily,Teachers always says study at home because it is the purpose of canvas,We can send messages,I have no problem,It helps me prepare for examinations,They give a week the deadline of the activity
Its all good ,I have no application of canvas.   ,Its all good ,"Thats a good thing, all good ","yes, easily and not took too long",Definitely yes,The lessons are well organized ,"Thats what i said, well organized and well managed","yes it is, very fast",I have no applications of canvas due to the need of data or wifi,And thats help me so much,And through the face to face,So much knowledge ,Its help me to raise my hands ,Its very important to know,its good but sometimes she talked so fast,Always ,"Yes, it really helps for us",Just because of the modules stated,Yes it is,The deadline of every activities are able us to do it before its too late. 
i dont have problems in logging in,i can easily know where is the course given.,yes because computers have higher support system,Yes because internet connection is good in laboratories,yes because it dept in jru helps us,yes as long as you have internet,yes because modules are specified,sometimes yes and sometimes its not,yes because its user friendly,yes because it indicates where the courses are,yes because materials in canvas is what we used in face to face,yes because it makes it easy to have soft copy,because of its user friendly type,yes because canvas indicates due date each of this and notify me when something is neede to do or something is updated,yes because she can use it easily,she is very good in teaching it,yes because every materials is on canvass,yes because we have different kind of forums that can use,yes if it is still open,yes because its all related to my  course,sometimes because i know its due date and i can finish it on time
